"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 24 13:49:31 CST 2021","Thu Jun 24 13:49:33 CST 2021","2465","","allure_test","TestPytestOne","","","test_one",""
"passed","Tue Jun 22 17:03:21 CST 2021","Tue Jun 22 17:03:21 CST 2021","0","","allure_test","TestPytestOne","","","測試標題：用例二","測試用例描述：用例二"
